Pos,Driver,Time Kph,,Driver,Time Kph,,Driver,Time Kph,,Driver,Time Kph,,Driver,Time,Kph
28,49 M. KONOPKA,3.605 144.6,,49M. KONOPKA,3.980 225.3,,50 N. BOULLE,16.027 231.8,,57 K. COZZOLINO,6.534 142.5,,49 K.TERESCHENKO,7.601,189.0
29,67 H. TINCKNELL,3.679 141.7,,51A. PIER GUIDI,4.334 206.9,,81 M. TOMCZYK,17.412 213.4,,91 G. BRUNI,6.560 141.9,,51 D.SERRA,8.032,178.8
30,69 R. WESTBROOK,3.697 141.0,,71D. RIGON,4.335 206.9,,95 N. THIIM,17.534 211.9,,68 D. MÜLLER,6.562 141.8,,67 J.BOMARITO,8.055,178.3
31,51 A. PIER GUIDI,3.698 141.0,,94M. JAMINET,4.339 206.7,,92 K. ESTRE,17.590 211.2,,94 M. JAMINET,6.562 141.8,,89 J.GOUNON,8.055,178.3
32,94 M. JAMINET,3.705 140.7,,64O. GAVIN,4.340 206.6,,82 A. DA COSTA,17.650 210.5,,66 O. PLA,6.569 141.7,,71 M.MOLINA,8.058,178.3
33,97 M. MARTIN,3.706 140.7,,63A. GARCIA,4.341 206.6,,88 M. CAIROLI,17.684 210.1,,69 R. WESTBROOK,6.576 141.5,,94 M.JAMINET,8.065,178.1
34,89 O. JARVIS,3.712 140.4,,89O. JARVIS,4.343 206.5,,66 O. PLA,17.690 210.0,,34 J. SMIECHOWSKI,6.583 141.4,,93 N.TANDY,8.074,177.9
35,71 D. RIGON,3.713 140.4,,91G. BRUNI,4.344 206.4,,69 R. WESTBROOK,17.696 209.9,,67 H. TINCKNELL,6.584 141.4,,91 F.MAKOWIECKI,8.089,177.6
36,93 N. TANDY,3.719 140.2,,93N. TANDY,4.355 205.9,,68 D. MÜLLER,17.698 209.9,,25 A. PIZZITOLA,6.593 141.2,,97 A.LYNN,8.091,177.5
37,66 O. PLA,3.720 140.1,,67H. TINCKNELL,4.358 205.8,,67 H. TINCKNELL,17.714 209.7,,62 T. VILANDER,6.609 140.8,,69 S.DIXON,8.091,177.5
38,91 G. BRUNI,3.723 140.0,,95N. THIIM,4.363 205.5,,63 A. GARCIA,17.728 209.6,,30 N. JAMIN,6.613 140.8,,66 S.MÜCKE,8.092,177.5
39,95 N. THIIM,3.726 139.9,,81M. TOMCZYK,4.363 205.5,,91 G. BRUNI,17.763 209.2,,84 J. SEGAL,6.625 140.5,,64 O.GAVIN,8.094,177.5
40,82 A. DA COSTA,3.731 139.7,,92K. ESTRE,4.363 205.5,,94 M. JAMINET,17.774 209.0,,63 A. GARCIA,6.640 140.2,,63 M.ROCKENFELLER,8.095,177.4
41,68 D. MÜLLER,3.732 139.7,,82A. DA COSTA,4.366 205.4,,64 O. GAVIN,17.778 209.0,,97 M. MARTIN,6.650 140.0,,95 M.SØRENSEN,8.100,177.3
42,63 A. GARCIA,3.738 139.5,,97M. MARTIN,4.367 205.3,,51 A. PIER GUIDI,17.819 208.5,,78 V. ABRIL,6.660 139.8,,82 A.DA COSTA,8.116,177.0
43,92 K. ESTRE,3.741 139.3,,66O. PLA,4.371 205.2,,85 J. BLEEKEMOLEN,17.831 208.4,,60 A. PICCINI,6.660 139.8,,92 K.ESTRE,8.121,176.9
44,54 G. FISICHELLA,3.744 139.2,,68D. MÜLLER,4.372 205.1,,93 N. TANDY,17.832 208.3,,51 A. PIER GUIDI,6.662 139.7,,68 D.MÜLLER,8.123,176.8
45,56 J. BERGMEISTER,3.745 139.2,,69R. WESTBROOK,4.380 204.7,,90 C. EASTWOOD,17.884 207.7,,89 O. JARVIS,6.663 139.7,,81 M.TOMCZYK,8.153,176.2
46,85 J. BLEEKEMOLEN,3.745 139.2,,84J. SEGAL,4.405 203.6,,78 V. ABRIL,17.886 207.7,,77 M. CAMPBELL,6.664 139.7,,56 J.BERGMEISTER,8.170,175.8
47,83 R. FREY,3.748 139.1,,57K. COZZOLINO,4.407 203.5,,86 B. BARKER,17.888 207.7,,95 N. THIIM,6.665 139.7,,85 F.FRAGA,8.171,175.8
48,78 V. ABRIL,3.753 138.9,,85 J. BLEEKEMOLEN,4.419 202.9,,89 O. JARVIS,17.906 207.5,,64 O. GAVIN,6.674 139.5,,54 G.FISICHELLA,8.178,175.6
49,84 J. SEGAL,3.753 138.9,,78V. ABRIL,4.421 202.8,,98 P. LAMY,17.907 207.5,,71 D. RIGON,6.677 139.4,,84 R.BAPTISTA,8.180,175.6
50,64 O. GAVIN,3.754 138.9,,56 J. BERGMEISTER,4.422 202.8,,71 D. RIGON,17.919 207.3,,56 J. BERGMEISTER,6.681 139.3,,57 K.COZZOLINO,8.184,175.5
51,62 T. VILANDER,3.758 138.7,,83R. FREY,4.423 202.7,,62 T. VILANDER,17.926 207.3,,49 M. KONOPKA,6.684 139.3,,83 M.GATTING,8.184,175.5
52,90 C. EASTWOOD,3.762 138.6,,54G. FISICHELLA,4.424 202.7,,97 M. MARTIN,17.927 207.2,,82 A. DA COSTA,6.688 139.2,,78 V.ABRIL,8.193,175.3
53,86 B. BARKER,3.764 138.5,,60A. PICCINI,4.425 202.7,,54 G. FISICHELLA,17.960 206.9,,85 J. BLEEKEMOLEN,6.694 139.0,,60 A.PICCINI,8.193,175.3
54,61 L. PEREZ-COMPANC,3.765 138.5,,61 L. PEREZ-COMPANC,4.429 202.5,,77 M. CAMPBELL,17.980 206.6,,88 M. CAIROLI,6.695 139.0,,61 M.CRESSONI,8.194,175.3
55,60 A. PICCINI,3.766 138.4,,86B. BARKER,4.432 202.3,,84 J. SEGAL,18.046 205.9,,81 M. TOMCZYK,6.697 139.0,,90 C.EASTWOOD,8.196,175.3
56,57 K. COZZOLINO,3.770 138.3,,90C. EASTWOOD,4.434 202.2,,61 L. PEREZ-COMPANC,18.064 205.7,,61 L. PEREZ-COMPANC,6.699 138.9,,86 B.BARKER,8.203,175.1
"",,,FIA WEC,,,,
"",,,87o Edition des 24 Heures du Mans,,,,
"",,,Race,,,,
"",,,Best Specific Sectors,,,,
"",,T6,T7 PORSCHE FORD,,,T6+ T7,
Pos,Driver,,Time Kph Driver Time Kph Driver Time Kph Driver,Time Kph,,Driver Time,Kph
57,77 M. CAMPBELL,,3.771 138.2 62T. VILANDER 4.434 202.2 57 K. COZZOLINO 18.094 205.3 50 N. BOULLE,6.702 138.9,,62 T.VILANDER 8.216,174.8
58,81 M. TOMCZYK,,3.772 138.2 77M. CAMPBELL 4.435 202.2 60 A. PICCINI 18.118 205.1 90 C. EASTWOOD,6.726 138.4,,77 J.ANDLAUER 8.225,174.6
59,88 M. CAIROLI,,3.788 137.6 70M. ISHIKAWA 4.448 201.6 70 M. ISHIKAWA 18.140 204.8 54 G. FISICHELLA,6.731 138.3,,88 M.CAIROLI 8.244,174.2
60,98 P. LAMY,,3.799 137.2 88M. CAIROLI 4.456 201.2 83 R. FREY 18.167 204.5 98 P. LAMY,6.759 137.7,,98 P.LAMY 8.271,173.7
61,70 M. ISHIKAWA,,3.815 136.6 98P. LAMY 4.461 201.0 56 J. BERGMEISTER 18.171 204.5 83 R. FREY,6.855 135.8,,70 E.CHEEVER 8.279,173.5
